tx_bytes,rx_bytes,tx_packets,rx_packets,latencia,congestion
203000290,5423640191,2643084,4436351,7,0
203052249,5425730789,2643876,4437804,15,0
203136380,5429131083,2645116,4440166,18,0
203300385,5434625236,2647392,4443980,12,0
203345430,5436554886,2648050,4445329,9,0
203372543,5437591524,2648470,4446063,10,0
203427235,5439780300,2649343,4447609,26,0
203458486,5440385094,2649630,4448041,5,0
203512184,5441891726,2650277,4449123,11,0
203529599,5442512706,2650546,4449564,5,0
203548591,5443240968,2650854,4450076,11,0
203598325,5444620279,2651449,4451044,4,0
203630713,5445776644,2651880,4451850,9,0
203648937,5446583994,2652206,4452410,10,0
203674296,5447413166,2652607,4452985,23,0
203697624,5448251835,2652985,4453570,9,0
203727645,5449309504,2653374,4454311,5,0
203755728,5450411976,2653824,4455081,30,0
203783015,5451548290,2654288,4455871,8,0
203817129,5452606321,2654808,4456607,5,0
203867301,5454203947,2655427,4457727,8,0
203910016,5455982735,2656030,4458963,12,0
203933518,5457194655,2656428,4459809,9,0
203969913,5458928769,2657010,4461009,24,0
204054328,5461956430,2658177,4463118,8,0
204101562,5463066572,2658744,4463892,7,0
204157364,5464131142,2659359,4464632,7,0
204228206,5466659544,2660421,4466400,4,0
204292754,5468624421,2661240,4467775,15,0
204337670,5470598049,2661972,4469139,5,0
204395206,5473217721,2662875,4470951,7,0
204452191,5475375317,2663693,4472446,19,0
204509879,5477251931,2664424,4473756,17,0
204580193,5480136032,2665486,4475753,7,0
204661732,5483363751,2666679,4477999,8,0
204738396,5486592522,2667822,4480232,5,0
204843638,5489804516,2669209,4482454,9,0
204936526,5492072754,2670310,4484028,9,0
204998486,5493942980,2671108,4485319,6,0
205101252,5497901678,2672636,4488050,35,0
205235317,5502172162,2674501,4491000,17,0
205265880,5503106052,2674883,4491649,11,0
205297908,5503915016,2675276,4492221,8,0
205337131,5504658944,2675723,4492745,4,0
205385330,5505820915,2676325,4493558,8,0
205429954,5507424610,2676991,4494677,28,0
205480522,5508850419,2677669,4495667,8,0
205508591,5509715995,2678047,4496268,12,0
205545145,5511043636,2678604,4497204,4,0
205610552,5512401724,2679354,4498147,4,0
205658474,5513388856,2679905,4498836,7,0
205683694,5514177316,2680268,4499383,7,0
205720255,5514951734,2680683,4499926,5,0
205792575,5517156007,2681708,4501472,16,0
205840147,5518618047,2682349,4502488,25,0
205876275,5519956293,2682945,4503414,9,0
205933158,5521411857,2683695,4504426,26,0
205978568,5522824273,2684323,4505411,18,0
206010093,5523896691,2684771,4506160,7,0
206042555,5524937463,2685202,4506886,25,0
206063471,5525547175,2685506,4507310,12,0
206120973,5527184868,2686327,4508456,4,0
206149824,5527956144,2686648,4508996,6,0
206171740,5528663188,2686985,4509493,21,0
206193300,5529588905,2687354,4510140,16,0
206198332,5529589650,2687381,4510150,8,0
206200764,5529589856,2687391,4510153,11,0
206202500,5529590062,2687398,4510156,5,0
206202781,5529590310,2687403,4510160,7,0
206203866,5529590516,2687411,4510163,8,0
206206085,5529590928,2687431,4510169,15,0
206206631,5529591134,2687439,4510172,26,0
206207185,5529591340,2687447,4510175,8,0
206208091,5529591588,2687459,4510179,109,0
206208976,5529591860,2687471,4510183,34,0
206209358,5529592066,2687477,4510186,7,0
206210907,5529592272,2687487,4510189,10,0
206211185,5529592478,2687491,4510192,30,0
206213081,5529594296,2687501,4510200,7,0
206219111,5529599153,2687535,4510218,3,0
206222938,5529608212,2687562,4510240,5,0
206226570,5529626357,2687595,4510266,6,0
206228651,5529642975,2687617,4510285,7,0
206233320,5529672863,2687663,4510321,7,0
206234703,5529673111,2687672,4510325,9,0
206235706,5529673317,2687679,4510328,9,0
206236299,5529673523,2687684,4510331,27,0
206237049,5529673852,2687691,4510335,8,0
206237416,5529674058,2687696,4510338,4,0
206238823,5529674264,2687707,4510341,9,0
206239399,5529674470,2687716,4510344,4,0
206240320,5529674676,2687725,4510347,105,0
206240764,5529674882,2687732,4510350,29,0
206241179,5529675088,2687739,4510353,12,0
206242142,5529675459,2687753,4510358,105,0
206243286,5529675913,2687767,4510365,4,0
